Name,Instance count,Size (bytes)
org.apache.lucene.util.packed.PackedInts$Reader[ ],11,712
java.io.Closeable[ ],11,280
java.security.Permissions,11,352
java.lang.StringCoding$StringEncoder,11,352
com.jprofiler.agent.probe.b,11,176
java.util.Vector$Itr,11,352
com.jprofiler.agent.probe.d.a,11,264
org.apache.lucene.index.ByteSliceReader,11,528
org.apache.lucene.util.IntsRefBuilder,11,176
org.apache.lucene.util.IntsRef,11,264
java.util.AbstractList$Itr,11,352
java.util.regex.Pattern$GroupHead,11,264
java.util.regex.Pattern$GroupTail,11,264
java.lang.ThreadLocal,11,176
org.apache.log4j.Logger,11,440
java.io.FilePermissionCollection,10,240
java.nio.file.StandardOpenOption,10,240
org.apache.lucene.util.packed.Direct8,10,240
java.lang.ClassValue$Entry[ ],10,1320
org.apache.lucene.util.AttributeSource$State,10,240
java.io.FilePermission,10,320
org.apache.lucene.util.packed.PackedWriter,10,560
java.lang.ThreadLocal$ThreadLocalMap$Entry[ ],10,800
java.lang.OutOfMemoryError,10,320
java.lang.ThreadLocal$ThreadLocalMap,10,240
org.apache.lucene.util.fst.Builder$UnCompiledNode[ ],10,560
org.apache.lucene.store.BufferedChecksumIndexInput,10,320
org.apache.lucene.store.BufferedChecksum,10,240
sun.invoke.util.Wrapper,10,560
org.apache.lucene.util.packed.GrowableWriter,10,320
org.apache.lucene.util.fst.BytesStore$2,10,320
org.apache.lucene.util.packed.PagedGrowableWriter,10,400
org.apache.lucene.util.packed.PackedInts$Mutable[ ],10,240
org.apache.lucene.util.fst.BytesStore,10,400
org.apache.lucene.util.fst.NodeHash,10,480
org.apache.lucene.util.fst.Builder,10,880
org.apache.lucene.util.fst.FST,10,720
java.lang.invoke.DirectMethodHandle$Accessor,10,400
java.security.CryptoPrimitive,10,240
sun.security.jca.ProviderConfig,10,320
java.text.DecimalFormatSymbols,10,640
java.text.DateFormatSymbols,10,640
org.apache.log4j.helpers.PatternParser$BasicPatternConverter,10,320
java.util.LinkedList,10,320
sun.reflect.generics.tree.SimpleClassTypeSignature,9,216
sun.reflect.generics.tree.TypeArgument[ ],9,152
java.util.WeakHashMap$KeyIterator,9,432
java.lang.ClassValue$ClassValueMap,9,576
java.util.jar.Manifest,9,216
java.util.concurrent.locks.ReentrantLock,9,144
sun.security.jca.ServiceId,9,216
jdk.internal.org.objectweb.asm.Type,9,288
org.apache.lucene.util.FixedBitSet,9,216
java.util.ResourceBundle$CacheKey,9,504
java.util.ResourceBundle$LoaderReference,9,288
java.util.ResourceBundle$BundleReference,9,432
java.beans.BeanDescriptor,8,384
java.util.Collections$UnmodifiableCollection,8,128
java.util.TreeMap$KeySet,8,128
sun.reflect.generics.tree.ClassTypeSignature,8,128
java.security.BasicPermissionCollection,8,256
org.apache.lucene.util.packed.DeltaPackedLongValues$Builder,8,512
sun.misc.ProxyGenerator$PrimitiveTypeInfo,8,256
com.jprofiler.api.agent.probe.DataType,8,128
org.apache.lucene.index.SegmentInfo,8,448
javax.crypto.CryptoPermissionCollection,8,192
java.util.LinkedList$ListItr,8,256
java.util.IdentityHashMap,8,320
java.beans.GenericBeanInfo,8,320
java.beans.MethodDescriptor[ ],8,1048
java.lang.invoke.BoundMethodHandle$Species_L,8,256
java.lang.invoke.MethodHandleImpl$Intrinsic,8,192
java.beans.PropertyDescriptor[ ],8,424
java.lang.invoke.LambdaForm$BasicType[ ],8,248
java.util.regex.Pattern$CharPropertyNames$3,8,128
java.util.regex.Pattern$Ctype,8,192
java.text.DigitList,8,320
java.math.RoundingMode,8,192
java.text.DecimalFormat,8,1152
sun.util.locale.provider.LocaleResources$ResourceReference,8,384
com.sun.management.VMOption$Origin,7,168
java.util.concurrent.ConcurrentLinkedQueue$Node,7,168
org.apache.lucene.index.TermVectorsConsumerPerField$TermVectorsPostingsArray,7,280
org.apache.lucene.util.AttributeSource$State[ ],7,168
org.apache.lucene.index.FieldInvertState,7,504
org.apache.lucene.index.NormValuesWriter,7,224
sun.reflect.annotation.AnnotationType,7,224
java.util.Collections$SynchronizedSet,7,168
char[ ][ ],7,6048
java.lang.reflect.Proxy$Key1,7,224
org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$FieldMetaData,7,504
java.lang.reflect.WeakCache$CacheValue,7,224
org.apache.lucene.index.FreqProxTermsWriterPerField,7,840
org.apache.lucene.document.FieldType,7,280
org.apache.lucene.index.TermVectorsConsumerPerField,7,784
org.apache.lucene.index.DefaultIndexingChain$PerField[ ],7,304
org.apache.lucene.index.DefaultIndexingChain$PerField,7,448
com.jprofiler.api.agent.probe.Unit,7,112
org.apache.lucene.util.fst.FST$Arc[ ],7,2280
org.apache.lucene.util.fst.ReverseBytesReader,7,168
org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$TermsWriter,7,728
org.apache.lucene.index.FreqProxFields$FreqProxTermsEnum,7,280
sun.security.x509.NetscapeCertTypeExtension$MapEntry,7,168
java.lang.invoke.LambdaForm$NamedFunction[ ],7,208
org.apache.lucene.index.FreqProxFields$FreqProxTerms,7,112
org.apache.lucene.util.BytesRefHash$1,7,280
java.net.NetPermission,7,168
java.util.GregorianCalendar,7,784
sun.util.calendar.Gregorian$Date,7,672
double[ ],6,664
java.text.SimpleDateFormat,6,384
java.security.CodeSigner[ ],6,128
org.apache.lucene.analysis.tokenattributes.PackedTokenAttributeImpl,6,288
java.util.Properties,6,288
sun.misc.PerfCounter,6,144
java.net.URLClassLoader$1,6,144
java.nio.DirectLongBufferU,6,336
java.lang.StackTraceElement[ ],6,384
java.lang.ClassLoader$NativeLibrary,6,240
sun.management.MemoryPoolImpl$CollectionSensor,6,240
sun.management.MemoryPoolImpl,6,336
sun.management.MemoryPoolImpl$PoolSensor,6,240
com.sun.proxy.$Proxy4,6,96
com.sun.proxy.$Proxy5,6,96
org.apache.lucene.analysis.util.CharArraySet,6,96
org.apache.lucene.index.BufferedUpdates,6,336
java.util.Collections$SingletonMap,6,240
com.jprofiler.agent.probe.e.b[ ],6,208
org.apache.lucene.index.DocValuesType,6,144
org.apache.lucene.index.DocumentsWriterDeleteQueue$DeleteSlice,6,144
